[2024-04-25 08:56:15] PATH FILE: ./archivos
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU001_COMPRA01_12042024.csv procesado 
[2024-04-25 08:56:15] Procesando sucursal : SU003
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
[2024-04-25 08:56:15] Archivo: ./archivos/SU003_COMPRA02_12042024.csv procesado 
